Source,Target,Weight
M190519,M96809,0.4783459750428186
M125021,M96937,0.3740935233808452
M96754,M96937,0.6258395408474783
M125037,M96945,0.07386961093585699
M28165,M95074,0.9665435139573072
M190519,M125037,0.06763724598119503
M125020,M96725,0.6069556322720879
M97513,M103246,0.9894949494949496
M125021,M96815,0.5834515882545573
M38398,M125021,0.473875099172617
M190519,M95074,0.6233504808767614
M58789,M125021,0.37351425265593774
M125028,M97513,0.9945340256900792
M95074,M96815,0.12084174726325858
M125037,M125021,0.28008663868958983
M125020,M125022,0.6058923996584116
M37229,M96815,0.5870753148016156
M190519,M96937,0.9634085213032582
M125020,M125023,0.2590325997410851
M38398,M4507,0.3977340488968396
M125022,M28266,0.9836976658021488
M58789,M4507,0.4353098231171432
M96748,M125022,0.061964485284986964
M125025,M4507,0.11801242236024845
M96809,M96937,0.4239030175253657
M96748,M28266,0.06699813548788068
M96809,M95074,0.37844270656239376
M125022,M4507,0.2429705945481863
M125028,M96809,0.1004740432419933
M125030,M4507,0.390008346250149
M96809,M37229,0.1073558648111332
M125025,M103246,0.9878234398782344
M96754,M96725,0.1319087978990092
M28165,M28266,0.6215400100654253
M125019,M96809,0.37280296022201664
M96815,M96725,0.9870967741935484
M58789,M96754,0.6319473034170441
M28165,M4507,0.3865002311604253
M28165,M125020,0.4514700874106028
M37229,M96754,0.4623857511131943
M96937,M96815,0.10584715122802643
M96940,M28266,0.9841981132075472
M96754,M125022,0.6240616357171078
M125020,M96754,0.44670280036133697
M38398,M58789,0.6432982988406111
M58789,M96940,0.6932043650793651
M125020,M96809,0.1089522872602066
M188445,M4507,0.13919095258808178
M96937,M95074,0.6259456777874239
M28266,M4507,0.2379421221864952
M125019,M37229,0.3926972909305065
M190519,M96754,0.6267349989323083
M38398,M125019,0.6346683619410892
M125030,M125021,0.4487410071942446
M125030,M37229,0.4670094258783205
M28165,M58789,0.6284427688763221
M28165,M96815,0.10487857296367936
M28266,M96725,0.3770601336302895
M125028,M125025,0.9886275523391056
M125019,M28165,0.6268814924740301
M125030,M38398,0.9658215123422316
M96940,M125022,0.990573818781666
M190519,M96815,0.1089064261555806
M96940,M96725,0.3733402759697995
M96748,M37229,0.2560033703131583
M96754,M4507,0.3997498009780507
M96945,M28266,0.9796835319398319
M96945,M95074,0.6279215358931552
M125025,M97513,0.9879951980792316
M125019,M96937,0.9832597070448732
M28165,M96809,0.3795586527293845
M96940,M95074,0.6176024279210925
M125021,M37229,0.9738261967627138
M125030,M28165,0.9583333333333334
M96748,M125021,0.2639784946236559
M125023,M96815,0.5470743510778706
M96940,M96937,0.6892363534831775
M96809,M96940,0.2512807040588467
M38398,M28266,0.6365153886280647
M96809,M28266,0.2559139784946237
M125030,M96945,0.6103554190434402
M96748,M96725,0.5124614953794455
M28165,M96725,0.13411708253358925
M125021,M96754,0.44484822573749466
M125019,M58789,0.9931795386158476
M38398,M96940,0.6317803880163653
M96940,M96945,0.9850801939574786
M58789,M96815,0.09191908604968033
M96809,M125021,0.09067688378033206
M125037,M125022,0.07632729544034979
M96809,M96945,0.2636747744661413
M103246,M4507,0.12057978258153193
M96809,M96754,0.3969013442697653
M125020,M4507,0.055059523809523815
M37229,M125022,0.6113369218938811
M38398,M125022,0.6380156657963446
M125020,M96945,0.6010281627179258
M96748,M96815,0.5102698348771647
M28165,M96945,0.6203585147247119
M125019,M95074,0.6358170496027485
M190519,M125020,0.37052868391451066
M125037,M96940,0.09131871432862723
M125028,M188445,0.9929397921161012
M125023,M96748,0.8029245158740614
M125021,M96945,0.5942649261716242
M125023,M37229,0.24945401601553024
M125020,M96940,0.6282314320886335
M190519,M28266,0.6837731144816123
M125020,M95074,0.454016558514209
M125037,M96815,0.5204741379310345
M28165,M125022,0.6229935794542536
M125020,M96937,0.38244305315039295
M96748,M96937,0.014272970561998216
M96754,M96945,0.6210084033613446
M125023,M125021,0.25079995586450404
M38398,M125020,0.4729052279780378
M125020,M28266,0.6077211796246649
M125023,M96940,0.054792729174839815
M125037,M125023,0.7978540204000529
M96940,M96815,0.3598455598455598
M125023,M96725,0.5647820246672365
M38398,M96725,0.13770204235058264
M37229,M28266,0.6113858665787449
M125030,M95074,0.9526200873362446
M58789,M95074,0.6290339210227859
M125030,M58789,0.6250674145183907
M125030,M96937,0.6156258165665012
M125028,M4507,0.13622396722430866
M58789,M96725,0.11800953377514242
M28165,M37229,0.4687240356083086
M95074,M4507,0.38835062122421066
M125020,M96748,0.2651793278734821
M96748,M96945,0.06088560885608856
M125028,M103246,0.9897318881916716
M125021,M28266,0.6006860371267151
M125030,M96940,0.6075540033630837
M125021,M95074,0.4582528439579309
M190519,M96725,0.16439454691259026
M190519,M4507,0.4577498792853694
M125030,M125019,0.6149399733214762
M37229,M96937,0.38645317066971663
M125037,M96725,0.5285854754881304
M125019,M96754,0.6364852809991078
M125023,M96945,0.030794165316045383
M37229,M96945,0.6055979643765903
M58789,M96809,0.42924317062248096
M37229,M95074,0.4762745790651125
M96809,M4507,0.9076566125290024
M125021,M96725,0.5938964315751531
M37229,M96725,0.5861128332300062
M96809,M188445,0.09828061982593927
M38398,M28165,0.975074445792434
M96748,M96940,0.0759860788863109
M125030,M96809,0.3805925392827156
M125025,M188445,0.9850083287062744
M125037,M37229,0.2692628650904033
M97513,M4507,0.14261069580218516
M58789,M96945,0.6993156980900828
M125030,M96754,0.9508741821302156
M125019,M4507,0.4187653220414531
M96937,M28266,0.6987060998151571
M95074,M28266,0.6258166699663433
M58789,M125022,0.7024632460325188
M38398,M96945,0.6375913216736773
M125019,M28266,0.7039299531663612
M125022,M95074,0.6244057052297939
M190519,M96940,0.6671959352175294
M38398,M96937,0.6367218282111899
M125030,M125022,0.6100993377483444
M38398,M96815,0.1076541539848946
M96945,M96725,0.37207100591715975
M125023,M125022,0.02946309413817883
M190519,M96748,0.04626127436718068
M96937,M96725,0.12468990729860295
M95074,M96725,0.15382786495482645
M125020,M125021,0.9780195132892228
M125022,M96815,0.3421450913126829
M28165,M96937,0.6210367388022144
M96809,M125022,0.2621819749892195
M37229,M4507,0.05480318946968738
M125021,M4507,0.04474481472850152
M125030,M28266,0.6078309509011809
M125021,M125022,0.5978579367485096
M190519,M38398,0.6612942025499158
M58789,M37229,0.3870637717403661
M125019,M125022,0.7047910295616717
M28165,M96754,0.9766438716465018
M96940,M4507,0.2089875473741202
M125019,M96945,0.7050209205020921
M125021,M96940,0.6217524197656648
M96754,M95074,0.9613883754364346
M37229,M96940,0.625
M103246,M188445,0.9851664254703328
M97513,M96809,0.09376927822331894
M125025,M96809,0.08205489092188599
M96945,M96815,0.34503670603255665
M38398,M95074,0.9748981614004184
M125019,M96815,0.062186340824787266
M58789,M96937,0.9782085101502466
M125037,M28266,0.08234412095464201
M96754,M96940,0.6148895899053628
M125030,M96725,0.13204225352112675
M96937,M4507,0.4353750496097367
M96945,M96937,0.6990504017531045
M38398,M37229,0.4885945548197204
M103246,M96809,0.08268604359809571
M58789,M125020,0.3779212107723125
M96754,M96815,0.10423557025498772
M125023,M28266,0.030755083273730457
M28165,M125021,0.4514372822299652
M125022,M96945,0.9884652981427176
M190519,M58789,0.9822424117282677
M58789,M28266,0.6999805560956639
M125019,M96725,0.07061819865709655
M125022,M96937,0.6982798698279871
M190519,M37229,0.3753424657534247
M190519,M125021,0.3613749434644957
M125022,M96725,0.3699363910277871
M190519,M125030,0.6378698224852071
M125019,M125020,0.3812914313773631
M96945,M4507,0.2457882405444605
M96754,M28266,0.6232401348403728
M125030,M125020,0.4481609332222353
M125019,M96940,0.7016221156042952
M125019,M125021,0.3811619718309859
M28266,M96815,0.34903943377148633
M38398,M96754,0.9689345876175892
M125020,M37229,0.9732755507403394
M190519,M28165,0.6336910872608493
M125020,M96815,0.5940808195788275
M28165,M96940,0.6167633784655061
M125037,M96748,0.9923904487011284
M190519,M96945,0.6872058194266153
M190519,M125022,0.6903870162297129
M125030,M96815,0.10024669208342678
M38398,M96809,0.3855162523900574
M125020,M125037,0.277574047954866
